timestamp,content,category
2024-08-29 23:07:48.120183,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 11:47:48.120183,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-29 21:47:48.121185,Follow-up needed for mild Shortness of breath.,Non-urgent
2024-08-30 00:19:48.121185,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency
2024-08-29 20:46:48.121185,Follow-up needed for mild Cough.,Non-urgent
2024-08-30 03:41:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 04:48:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 08:27:48.121185,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency
2024-08-30 04:47:48.121185,Patient reporting persistent Fever. Requires prompt attention.,Urgent
2024-08-29 23:54:48.121185,Patient reporting persistent Headache. Requires prompt attention.,Urgent
2024-08-30 11:20:48.121185,Question about Amoxicillin side effects.,Inquiry
2024-08-30 03:32:48.121185,Question about Amoxicillin side effects.,Inquiry
2024-08-30 12:08:48.121185,Question about Lisinopril side effects.,Inquiry
2024-08-29 22:47:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-30 00:38:48.121185,Patient reporting persistent Nausea. Requires prompt attention.,Urgent
2024-08-30 03:43:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-30 02:15:48.121185,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency
2024-08-29 20:12:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-29 21:31:48.121185,Question about Amoxicillin side effects.,Inquiry
2024-08-30 02:08:48.121185,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency
2024-08-29 22:03:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 04:19:48.121185,Follow-up needed for mild Headache.,Non-urgent
2024-08-30 03:25:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 11:34:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-29 23:17:48.121185,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency
2024-08-30 10:34:48.121185,Patient reporting persistent Nausea. Requires prompt attention.,Urgent
2024-08-30 02:54:48.121185,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency
2024-08-30 11:31:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 11:17:48.121185,Question about Amoxicillin side effects.,Inquiry
2024-08-29 22:33:48.121185,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency
2024-08-30 09:00:48.121185,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency
2024-08-30 06:40:48.121185,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency
2024-08-29 20:32:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 10:04:48.121185,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency
2024-08-30 04:35:48.121185,Question about Lisinopril side effects.,Inquiry
2024-08-30 09:33:48.121185,Question about Acetaminophen side effects.,Inquiry
2024-08-30 10:43:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 04:35:48.121185,Follow-up needed for mild Headache.,Non-urgent
2024-08-29 23:03:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 07:56:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 00:05:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-30 09:00:48.121185,Patient reporting persistent Headache. Requires prompt attention.,Urgent
2024-08-29 20:46:48.121185,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency
2024-08-30 07:44:48.121185,Patient reporting persistent Headache. Requires prompt attention.,Urgent
2024-08-30 07:22:48.121185,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent
2024-08-30 00:38:48.121185,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency
2024-08-30 03:01:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 05:44:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-29 22:58:48.121185,Patient reporting persistent Chest pain. Requires prompt attention.,Urgent
2024-08-30 04:44:48.121185,Patient reporting persistent Nausea. Requires prompt attention.,Urgent
2024-08-29 19:56:48.121185,Question about Acetaminophen side effects.,Inquiry
2024-08-30 09:32:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-29 20:09:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-30 09:30:48.121185,Follow-up needed for mild Fever.,Non-urgent
2024-08-29 22:38:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-29 23:02:48.121185,Follow-up needed for mild Headache.,Non-urgent
2024-08-30 05:09:48.121185,Follow-up needed for mild Cough.,Non-urgent
2024-08-30 09:19:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 04:34:48.121185,Follow-up needed for mild Nausea.,Non-urgent
2024-08-30 00:12:48.121185,Question about Ibuprofen side effects.,Inquiry
2024-08-30 09:47:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 07:56:48.121185,Patient reporting persistent Shortness of breath. Requires prompt attention.,Urgent
2024-08-29 23:42:48.121185,Patient reporting persistent Nausea. Requires prompt attention.,Urgent
2024-08-30 01:10:48.121185,Question about Lisinopril side effects.,Inquiry
2024-08-30 05:31:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 05:05:48.121185,Patient reporting persistent Shortness of breath. Requires prompt attention.,Urgent
2024-08-30 11:16:48.121185,Follow-up needed for mild Chest pain.,Non-urgent
2024-08-30 00:40:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 04:58:48.121185,Follow-up needed for mild Shortness of breath.,Non-urgent
2024-08-30 02:57:48.121185,Question about Aspirin side effects.,Inquiry
2024-08-30 06:47:48.121185,Question about Lisinopril side effects.,Inquiry
2024-08-30 07:52:48.121185,Patient reporting persistent Cough. Requires prompt attention.,Urgent
2024-08-30 02:32:48.121185,Question about Acetaminophen side effects.,Inquiry
