timestamp,content,category,processed_content
2024-08-29 21:56:48.116183,Patient reporting persistent Nausea. Requires prompt attention.,Urgent,patient reporting persistent nausea requires prompt attention
2024-08-30 02:42:48.116183,Question about Amoxicillin side effects.,Inquiry,question amoxicillin side effects
2024-08-29 23:14:48.116183,Question about Ibuprofen side effects.,Inquiry,question ibuprofen side effects
2024-08-30 05:31:48.116183,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency,urgent patient experiencing severe nausea immediate assistance required
2024-08-30 05:06:48.116183,Question about Lisinopril side effects.,Inquiry,question lisinopril side effects
2024-08-30 05:28:48.116183,Follow-up needed for mild Chest pain.,Non-urgent,followup needed mild chest pain
2024-08-30 04:16:48.116183,Follow-up needed for mild Cough.,Non-urgent,followup needed mild cough
2024-08-29 20:24:48.116183,Question about Aspirin side effects.,Inquiry,question aspirin side effects
2024-08-29 23:56:48.116183,Question about Amoxicillin side effects.,Inquiry,question amoxicillin side effects
2024-08-30 01:31:48.116183,Question about Ibuprofen side effects.,Inquiry,question ibuprofen side effects
2024-08-30 05:04:48.116183,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency,urgent patient experiencing severe nausea immediate assistance required
2024-08-30 08:56:48.116183,Patient reporting persistent Shortness of breath. Requires prompt attention.,Urgent,patient reporting persistent shortness breath requires prompt attention
2024-08-30 09:21:48.116183,Follow-up needed for mild Cough.,Non-urgent,followup needed mild cough
2024-08-30 04:16:48.116183,URGENT: Patient experiencing severe Shortness of breath. Immediate assistance required.,Emergency,urgent patient experiencing severe shortness breath immediate assistance required
2024-08-30 01:16:48.116183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-30 10:49:48.116183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-30 06:17:48.116183,URGENT: Patient experiencing severe Cough. Immediate assistance required.,Emergency,urgent patient experiencing severe cough immediate assistance required
2024-08-30 11:05:48.116183,Question about Aspirin side effects.,Inquiry,question aspirin side effects
2024-08-29 21:14:48.116183,Follow-up needed for mild Cough.,Non-urgent,followup needed mild cough
2024-08-30 08:37:48.116183,Question about Acetaminophen side effects.,Inquiry,question acetaminophen side effects
2024-08-30 07:49:48.116183,Question about Ibuprofen side effects.,Inquiry,question ibuprofen side effects
2024-08-30 11:41:48.116183,Question about Ibuprofen side effects.,Inquiry,question ibuprofen side effects
2024-08-30 01:49:48.116183,Patient reporting persistent Nausea. Requires prompt attention.,Urgent,patient reporting persistent nausea requires prompt attention
2024-08-30 12:20:48.116183,Follow-up needed for mild Headache.,Non-urgent,followup needed mild headache
2024-08-30 08:00:48.116183,Question about Aspirin side effects.,Inquiry,question aspirin side effects
2024-08-30 09:22:48.116183,Patient reporting persistent Nausea. Requires prompt attention.,Urgent,patient reporting persistent nausea requires prompt attention
2024-08-29 22:01:48.116183,Question about Ibuprofen side effects.,Inquiry,question ibuprofen side effects
2024-08-30 10:07:48.116183,URGENT: Patient experiencing severe Chest pain. Immediate assistance required.,Emergency,urgent patient experiencing severe chest pain immediate assistance required
2024-08-29 23:53:48.116183,Follow-up needed for mild Nausea.,Non-urgent,followup needed mild nausea
2024-08-29 21:23:48.116183,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency,urgent patient experiencing severe headache immediate assistance required
2024-08-30 12:21:48.116183,Follow-up needed for mild Fever.,Non-urgent,followup needed mild fever
2024-08-29 21:11:48.116183,URGENT: Patient experiencing severe Headache. Immediate assistance required.,Emergency,urgent patient experiencing severe headache immediate assistance required
2024-08-30 08:08:48.116183,URGENT: Patient experiencing severe Fever. Immediate assistance required.,Emergency,urgent patient experiencing severe fever immediate assistance required
2024-08-29 20:45:48.116183,Follow-up needed for mild Headache.,Non-urgent,followup needed mild headache
2024-08-30 09:17:48.116183,Question about Ibuprofen side effects.,Inquiry,question ibuprofen side effects
2024-08-29 20:07:48.116183,Follow-up needed for mild Cough.,Non-urgent,followup needed mild cough
2024-08-29 21:22:48.116183,URGENT: Patient experiencing severe Nausea. Immediate assistance required.,Emergency,urgent patient experiencing severe nausea immediate assistance required
2024-08-30 05:35:48.116183,Question about Ibuprofen side effects.,Inquiry,question ibuprofen side effects
